# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
ai lun 	艾倫	c=1 d=2.79674e-305 t=975297
ai mo neng zhu 	愛莫能助	c=2 d=0 t=975297
ai mu 	愛慕	c=1 d=0 t=975297
ai ni 	愛你	c=1 d=0.264477 t=975297
ai o 	唉噢	c=1 d=0 t=975297
ai qi 	愛琦	c=1 d=0 t=975297
ai qi yi 	愛奇藝	c=21 d=4.35015e-120 t=975297
ai qing 	愛情	c=8 d=4.99715e-123 t=975297
ai qing fei chai 	愛情廢柴	c=1 d=8.01168e-275 t=975297
ai ren 	愛人	c=23 d=6.7612e-161 t=975297
ai shang wo 	愛上我	c=1 d=7.78246e-22 t=975297
ai shi 	礙事	c=1 d=6.01299e-193 t=975297
ai si 	愛死	c=1 d=9.38184e-15 t=975297
ai si ni 	愛死你	c=1 d=0 t=975297
ai ta 	愛她	c=1 d=0 t=975297
ai te 	埃特	c=48 d=0.0160027 t=975297
ai xi 	愛惜	c=4 d=5.68729e-38 t=975297
ai xin 	愛心	c=2 d=3.48554e-307 t=975297
ai xue xi 	唉學習	c=1 d=1.02076e-124 t=975297
ai ya 	哎呀	c=25 d=1.8325e-08 t=975297
ai ya ya 	哎呀呀	c=1 d=8.89678e-155 t=975297
ai yi 	愛意	c=1 d=0 t=975297
ai yin si tan 	愛因斯坦	c=1 d=1.95617e-41 t=975297
ai yo 	唉喲	c=9 d=5.87385e-06 t=975297
ai zhe 	愛着	c=1 d=4.23684e-133 t=975297
ai zhe 	挨着	c=4 d=1.72162e-09 t=975297
ai zheng 	癌症	c=1 d=0 t=975297
ai zi 	矮子	c=1 d=2.24702e-201 t=975297
albayan 	AlBayan	c=1 d=0 t=975297
an 	俺	c=3 d=2.15823e-21 t=975297
an 	安	c=16 d=1.17172e-129 t=975297
an 	按	c=757 d=0.182005 t=975297
an 	暗	c=2 d=1.01536e-91 t=975297
an 	案	c=1 d=5.82531e-26 t=975297
an 	氨	c=1 d=5.96364e-08 t=975297
an an 	安安	c=1 d=8.67121e-147 t=975297
an an jing jing 	安安靜靜	c=1 d=0 t=975297
an an xin xin 	安安心心	c=1 d=0 t=975297
an bao 	安保	c=1 d=0 t=975297
an bi li 	按比例	c=2 d=3.92506e-28 t=975297
an bing 	暗病	c=4 d=1.15625e-149 t=975297
an bu jiu ban 	按部就班	c=3 d=8.6112e-36 t=975297
an chang 	按場	c=1 d=1.78258e-36 t=975297
an chang fen xiao 	案場分銷	c=1 d=3.792e-34 t=975297
an dao li 	按道理	c=2 d=5.58494e-89 t=975297
an die 	暗爹	c=1 d=2.59888e-236 t=975297
an ding 	安定	c=1 d=0 t=975297
an duan 	按端	c=1 d=0 t=975297
an dun 	安頓	c=3 d=1.14943e-197 t=975297
an fang 	安防	c=64 d=5.12667e-23 t=975297
an fang lei 	安防類	c=1 d=1.13675e-96 t=975297
an ge 	安格	c=1 d=2.95487e-305 t=975297
an guang 	暗光	c=1 d=0 t=975297
an guo 	安國	c=1 d=0 t=975297
an hao 	安好	c=3 d=1.42006e-302 t=975297
an he 	安和	c=0 d=5.79946e-151 t=975297
an he tai 	安和泰	c=6 d=1.10663e-134 t=975297
an hei 	暗黑	c=2 d=9.80938e-98 t=975297
an hui 	安徽	c=17 d=3.73966e-78 t=975297
an ji 	安吉	c=5 d=0 t=975297
an ji hua 	按計劃	c=2 d=0.00115923 t=975297
an ji shu 	按技術	c=1 d=0 t=975297
an ji suan 	氨基酸	c=5 d=0 t=975297
an jia 	安家	c=2 d=3.87667e-177 t=975297
an jia jia 	安家加	c=1 d=3.8961e-176 t=975297
an jian 	安檢	c=1 d=0 t=975297
an jian 	按鍵	c=7 d=4.47868e-139 t=975297
an jie 	按揭	c=3 d=2.70618e-172 t=975297
an jie zou 	按節奏	c=1 d=1.45035e-80 t=975297
an jing 	安靜	c=4 d=2.25123e-223 t=975297
an jing yan 	按經驗	c=1 d=5.82258e-138 t=975297
an ju 	安居	c=2 d=1.37661e-26 t=975297
an ju bao 	安居寶	c=1 d=0 t=975297
an ju ke 	安居客	c=2 d=3.87937e-25 t=975297
an kang 	安康	c=4 d=1.8372e-185 t=975297
an keng 	暗坑	c=3 d=7.80956e-151 t=975297
an le si 	安樂死	c=1 d=2.21039e-96 t=975297
an li 	安利	c=8 d=5.1895e-78 t=975297
an li 	按理	c=1 d=0 t=975297
an li 	案例	c=40 d=1.41022e-44 t=975297
an li shuo 	按理說	c=26 d=5.77717e-46 t=975297
an lian 	暗戀	c=1 d=6.05672e-190 t=975297
an meng 	安孟	c=1 d=4.27363e-264 t=975297
an mo 	按摩	c=2 d=1.27385e-24 t=975297
an mo kuai 	按模塊	c=1 d=0 t=975297
an mu qian 	按目前	c=2 d=2.10008e-82 t=975297
an ni 	安妮	c=5 d=3.05801e-150 t=975297
an ni 	按你	c=12 d=3.69397e-20 t=975297
an ni men 	按你們	c=1 d=0 t=975297
an nian 	按年	c=7 d=3.38006e-34 t=975297
an ning 	安寧	c=0 d=0 t=975297
an ning zhuang 	安寧莊	c=7 d=8.59726e-252 t=975297
an niu 	按鈕	c=129 d=3.36331e-05 t=975297
an pai 	安排	c=419 d=0.0422141 t=975297
an pai huo er 	安排活兒	c=1 d=1.88275e-179 t=975297
an pan 	暗盤	c=4 d=1.27152e-67 t=975297
an ping tai 	按平臺	c=2 d=0 t=975297
an qi 	安琪	c=1 d=1.20741e-129 t=975297
an qing 	安慶	c=1 d=0 t=975297
an quan 	安全	c=127 d=0.00852289 t=975297
an quan bu 	安全部	c=3 d=8.43563e-264 t=975297
an quan dai 	安全帶	c=1 d=2.45879e-143 t=975297
an quan gan 	安全感	c=3 d=9.35573e-41 t=975297
an quan qi 	安全期	c=2 d=0 t=975297
an quan qu 	安全區	c=3 d=0 t=975297
an quan shang 	安全上	c=1 d=0 t=975297
an quan xian 	安全線	c=3 d=1.06804e-186 t=975297
an quan xing 	安全性	c=10 d=1.18947e-49 t=975297
an ran 	安然	c=1 d=0 t=975297
an ren 	按人	c=1 d=0 t=975297
an shi 	按時	c=29 d=4.35563e-15 t=975297
an shi 	暗示	c=9 d=1.11238e-47 t=975297
an shi jian 	按時間	c=1 d=0 t=975297
an shun xu 	按順序	c=2 d=0 t=975297
an suan 	暗算	c=1 d=0 t=975297
an ta 	按他	c=2 d=1.48859e-92 t=975297
an tian 	按天	c=1 d=1.66107e-264 t=975297
an wan 	按完	c=1 d=5.95013e-187 t=975297
an wei 	安慰	c=10 d=3.2174e-42 t=975297
an wen 	安穩	c=1 d=0 t=975297
an wo 	按我	c=7 d=1.95039e-66 t=975297
an wo men 	按我們	c=1 d=0 t=975297
an xia 	按下	c=2 d=2.12444e-100 t=975297
an xiang 	暗箱	c=1 d=4.38733e-220 t=975297
an xie yi 	按協議	c=1 d=3.53853e-73 t=975297
an xin 	安心	c=100 d=0.29671 t=975297
an xin jia 	安心加	c=315 d=1.28694 t=975297
an xin kai men 	安心開門	c=1 d=0 t=975297
an xin ting che 	安心停車	c=1 d=6.43844e-115 t=975297
an xin zhu shou 	安心助手	c=1 d=1.50392e-183 t=975297
an xu 	按需	c=19 d=1.57478e-19 t=975297
an ya 	按壓	c=0 d=1.4443e-120 t=975297
an yao qiu 	按要求	c=1 d=1.29162e-275 t=975297
an ye wu 	按業務	c=1 d=0 t=975297
an yi 	安逸	c=6 d=1.19646e-68 t=975297
an yi ge 	按一個	c=1 d=4.96453e-86 t=975297
an yong jun 	按永駿	c=1 d=3.39367e-140 t=975297
an you xian ji 	按優先級	c=2 d=9.24322e-222 t=975297
an yu 	暗語	c=1 d=1.66412e-168 t=975297
an yue 	按月	c=3 d=0 t=975297
an zan men 	按咱們	c=1 d=1.79935e-146 t=975297
an zhai 	按宅	c=2 d=0 t=975297
an zhao 	按照	c=31 d=1.06491e-34 t=975297
an zhe 	按着	c=2 d=0 t=975297
an zhe ge 	按這個	c=2 d=0.000655574 t=975297
an zhe zhong 	按這種	c=1 d=1.46643e-92 t=975297
an zhi 	安置	c=1 d=0 t=975297
an zhi qian 	按之前	c=1 d=0 t=975297
an zhong 	暗中	c=1 d=0 t=975297
an zhou 	按周	c=1 d=0 t=975297
an zhu 	按住	c=3 d=5.3043e-247 t=975297
an zhuang 	安裝	c=294 d=1.89255e-05 t=975297
an zhuang bao 	安裝包	c=4 d=2.77803e-138 t=975297
an zhuo 	安卓	c=740 d=0.978296 t=975297
an zi 	暗自	c=1 d=5.04663e-220 t=975297
an zu 	按組	c=4 d=5.99212e-64 t=975297
android 	Android	c=13 d=1.83687e-36 t=975297
ang 	昂	c=17 d=2.63427e-13 t=975297
ang ang 	昂昂	c=2 d=0 t=975297
ang ke la 	昂克拉	c=2 d=0 t=975297
ang ke wei 	昂科威	c=2 d=3.66855e-27 t=975297
ao 	凹	c=11 d=5.17191e-185 t=975297
ao 	嗷	c=2 d=1.51934e-156 t=975297
ao 	奧	c=81 d=3.87202e-15 t=975297
ao 	熬	c=27 d=1.11143e-37 t=975297
ao ao 	嗷嗷	c=2 d=2.37996e-142 t=975297
ao cao 	凹槽	c=2 d=1.1953e-174 t=975297
ao chu tou 	熬出頭	c=2 d=5.78491e-238 t=975297
ao dao 	熬到	c=2 d=5.01016e-76 t=975297
ao dao tou 	熬到頭	c=3 d=2.42071e-40 t=975297
ao di 	奧迪	c=14 d=1.88959e-16 t=975297
ao dian 	熬點	c=1 d=1.77431e-187 t=975297
ao guo qu 	熬過去	c=1 d=2.72071e-128 t=975297
ao kou 	拗口	c=1 d=4.79785e-96 t=975297
ao le 	熬了	c=1 d=2.87992e-150 t=975297
ao li gei 	奧力給	c=2 d=0 t=975297
ao li gei 	奧裏給	c=1 d=1.218e-26 t=975297
ao man 	傲慢	c=1 d=0 t=975297
ao man 	熬滿	c=3 d=0 t=975297
ao men 	澳門	c=4 d=2.27863e-42 t=975297
ao mi 	奧祕	c=0 d=0 t=975297
ao miao 	奧妙	c=1 d=0 t=975297
ao nan 	奧南	c=2 d=2.44629e-94 t=975297
ao sai 	奧賽	c=1 d=0 t=975297
ao sen 	奧森	c=1 d=0 t=975297
ao shi qun xiong 	傲視羣雄	c=1 d=0 t=975297
ao ti 	奧體	c=16 d=1.37115e-37 t=975297
ao tu 	凹凸	c=3 d=7.99799e-108 t=975297
ao ye 	熬夜	c=10 d=8.98459e-06 t=975297
ao zi 	襖子	c=1 d=7.29423e-142 t=975297
ao zou 	熬走	c=4 d=0 t=975297
api 	API	c=2 d=1.29347e-233 t=975297
arial unicode 	Arial Unicode	c=0 d=2.28377e-187 t=975297
ba 	八	c=7 d=2.17586e-146 t=975297
ba 	吧	c=5750 d=1.97239 t=975297
ba 	巴	c=6 d=1.75974e-179 t=975297
ba 	扒	c=18 d=2.64244e-20 t=975297
ba 	把	c=1814 d=0.453935 t=975297
ba 	拔	c=6 d=1.45415e-52 t=975297
ba 	爸	c=5 d=6.07771e-25 t=975297
ba 	霸	c=1 d=0 t=975297
ba ba 	巴巴	c=4 d=2.98188e-30 t=975297
ba ba 	把把	c=1 d=8.05425e-161 t=975297
ba ba 	爸爸	c=29 d=0.535261 t=975297
ba ba 	粑粑	c=3 d=4.6958e-49 t=975297
ba bai 	八百	c=1 d=0 t=975297
ba bang 	霸榜	c=1 d=0 t=975297
ba bao zhou 	八寶粥	c=1 d=3.81502e-17 t=975297
ba bi 	芭比	c=3 d=1.1984e-41 t=975297
ba bing 	把柄	c=1 d=3.95136e-224 t=975297
ba bu de 	巴不得	c=1 d=2.39726e-139 t=975297
ba che 	把車	c=7 d=7.75287e-36 t=975297
ba chi 	把持	c=1 d=2.54231e-183 t=975297
ba da 	八大	c=0 d=1.82177e-175 t=975297
ba da yi 	八大姨	c=1 d=1.8309e-174 t=975297
ba diao 	拔掉	c=7 d=1.61032e-105 t=975297
ba fang zi 	把房子	c=1 d=3.86979e-67 t=975297
ba fei te 	巴菲特	c=2 d=1.05655e-147 t=975297
ba gan jue 	吧感覺	c=1 d=1.55368e-213 t=975297
ba gao 	拔高	c=1 d=0 t=975297
ba ge 	八個	c=1 d=0 t=975297
ba gong 	罷工	c=1 d=0.111359 t=975297
ba gu wen 	八股文	c=2 d=8.02132e-142 t=975297
ba gua 	八卦	c=6 d=1.2279e-33 t=975297
ba guan 	把關	c=7 d=5.74368e-14 t=975297
ba he 	拔河	c=3 d=2.01493e-30 t=975297
ba hua 	把話	c=1 d=1.68765e-98 t=975297
ba jian 	拔尖	c=1 d=6.98945e-228 t=975297
ba jin 	巴金	c=1 d=1.0897e-275 t=975297
ba jin er 	把勁兒	c=4 d=3.28921e-37 t=975297
ba kong 	把控	c=34 d=7.24411e-11 t=975297
ba kou zhao 	吧口罩	c=1 d=0 t=975297
ba la 	巴拉	c=7 d=3.84333e-155 t=975297
ba la 	扒拉	c=1 d=0 t=975297
ba la ba la 	巴拉巴拉	c=3 d=1.75701e-160 t=975297
ba le 	拔了	c=2 d=0 t=975297
ba le 	罷了	c=6 d=1.6361e-86 t=975297
ba lian 	把臉	c=0 d=5.70881e-54 t=975297
ba ma 	爸媽	c=15 d=1.38894e-71 t=975297
ba mei 	把妹	c=1 d=0 t=975297
ba ni 	把你	c=103 d=0.315839 t=975297
ba ni jia 	把你加	c=1 d=0 t=975297
ba ni lia 	吧你倆	c=1 d=5.17224e-127 t=975297
ba ni lia 	把你倆	c=1 d=0 t=975297
ba ni men 	吧你們	c=3 d=6.359e-116 t=975297
ba qi 	霸氣	c=22 d=2.74794e-10 t=975297
ba qian 	把錢	c=2 d=1.59766e-71 t=975297
ba ren 	把人	c=6 d=4.16494e-20 t=975297
ba shang 	壩上	c=1 d=6.25266e-241 t=975297
ba shei 	把誰	c=1 d=0 t=975297
ba shi 	巴士	c=2 d=9.85584e-97 t=975297
ba shi 	把式	c=2 d=1.12268e-126 t=975297
ba shi qing 	把事情	c=1 d=9.93796e-16 t=975297
ba shi yin zi 	巴士因子	c=3 d=4.68234e-92 t=975297
ba shou 	把手	c=1 d=4.1393e-300 t=975297
ba ta 	把他	c=8 d=1.08987e-130 t=975297
ba ta 	把她	c=3 d=5.92765e-25 t=975297
ba ta 	把它	c=17 d=2.46723e-07 t=975297
ba ta men 	把他們	c=1 d=0 t=975297
ba tai 	吧檯	c=2 d=4.22101e-89 t=975297
ba wan 	把玩	c=7 d=0.00296761 t=975297
ba wang 	霸王	c=2 d=6.35189e-191 t=975297
ba wang quan 	霸王券	c=1 d=0 t=975297
ba wo 	把我	c=33 d=1.14252e-38 t=975297
ba wo 	把握	c=11 d=0.283654 t=975297
ba wo men 	把我們	c=1 d=1.93423e-261 t=975297
ba xi 	把戲	c=1 d=0 t=975297
ba xian 	拔線	c=1 d=4.17785e-27 t=975297
ba xiao shi 	八小時	c=0 d=0 t=975297
ba ya 	拔牙	c=2 d=0 t=975297
ba yue 	八月	c=2 d=0 t=975297
ba yue fen 	八月份	c=1 d=0 t=975297
ba zhan 	霸佔	c=1 d=7.02061e-104 t=975297
ba zhang 	八丈	c=1 d=1.33789e-101 t=975297
ba zhe 	把這	c=5 d=5.89187e-43 t=975297
ba zhe ge 	把這個	c=4 d=3.20234e-75 t=975297
ba zhe wan yi 	把這玩意	c=1 d=0 t=975297
ba zhe yi tian 	把這一天	c=1 d=5.92141e-42 t=975297
ba zhua yu 	八爪魚	c=2 d=6.58444e-261 t=975297
ba zi 	把子	c=0 d=1.83939e-200 t=975297
bai 	拜	c=1 d=0 t=975297
bai 	擺	c=5 d=1.25622e-26 t=975297
bai 	白	c=61 d=3.19374e-14 t=975297
bai 	百	c=5 d=3.52951e-43 t=975297
bai bai 	拜拜	c=1 d=1.21566e-209 t=975297
bai bai 	白白	c=3 d=9.396e-209 t=975297
bai ban 	白板	c=1 d=0 t=975297
bai bian 	白邊	c=1 d=1.99692e-107 t=975297
bai bing 	百病	c=1 d=5.4208e-91 t=975297
bai bu he 	白不喝	c=1 d=0 t=975297
bai cai 	白菜	c=2 d=1.90528e-25 t=975297
bai che 	掰扯	c=1 d=1.01125e-14 t=975297
bai che 	白車	c=1 d=0 t=975297
bai chi 	白吃	c=1 d=0 t=975297
bai chi 	白癡	c=2 d=5.73705e-111 t=975297
bai chu 	擺出	c=1 d=1.16197e-207 t=975297
bai chu 	百出	c=1 d=2.48638e-186 t=975297
bai chui 	白吹	c=1 d=0 t=975297
bai da 	百搭	c=1 d=2.45678e-104 t=975297
bai dao 	擺到	c=1 d=2.96278e-72 t=975297
bai dao 	百刀	c=1 d=0 t=975297
bai deng 	拜登	c=1 d=0 t=975297
bai ding 	白丁	c=1 d=0 t=975297
bai du 	百度	c=112 d=8.98765e-10 t=975297
bai fang 	拜訪	c=6 d=1.47528e-104 t=975297
bai fang 	擺放	c=3 d=1.64437e-204 t=975297
bai fei 	白費	c=4 d=0 t=975297
bai fen 	百分	c=1 d=4.94297e-123 t=975297
bai fen bai 	百分百	c=1 d=8.13045e-66 t=975297
bai fen bi 	百分比	c=21 d=9.0327e-10 t=975297
bai fen hao 	百分號	c=1 d=1.21107e-194 t=975297
bai fen shu 	百分數	c=1 d=8.28032e-75 t=975297
bai fen zhi 	百分之	c=3 d=0 t=975297
bai fu mei 	白富美	c=2 d=9.37296e-92 t=975297
bai gai 	白改	c=1 d=1.5332e-204 t=975297
bai gan 	白乾	c=2 d=0 t=975297
bai gao 	白搞	c=1 d=0 t=975297
bai gei 	敗給	c=1 d=0 t=975297
bai gong li 	百公里	c=1 d=0 t=975297
bai he 	百合	c=3 d=0 t=975297
bai hua 	白話	c=3 d=9.30243e-62 t=975297
bai hua hua 	白花花	c=2 d=0 t=975297
bai hua qi fang 	百花齊放	c=1 d=6.58908e-93 t=975297
bai hui 	白灰	c=1 d=5.45359e-250 t=975297
bai huo 	白活	c=1 d=2.41996e-191 t=975297
bai huo 	百貨	c=2 d=0 t=975297
bai jia 	百家	c=2 d=5.59082e-72 t=975297
bai jia xing 	百家姓	c=1 d=0 t=975297
bai jin 	白金	c=4 d=1.58151e-69 t=975297
bai jin ka 	白金卡	c=4 d=1.04962e-84 t=975297
bai jiu 	白酒	c=4 d=2.28414e-41 t=975297
bai kai shui 	白開水	c=1 d=0 t=975297
bai ke 	百科	c=9 d=6.11213e-62 t=975297
bai lai 	白來	c=1 d=0 t=975297
bai lang 	白狼	c=1 d=0 t=975297
bai lao ban 	白老闆	c=5 d=1.04408e-125 t=975297
bai li 	百利	c=0 d=4.00998e-163 t=975297
bai li er wu yi hai 	百利而五一還	c=1 d=4.03008e-162 t=975297
bai long jiang 	白龍江	c=6 d=5.22923e-197 t=975297
bai mang 	百忙	c=0 d=0 t=975297
bai mang huo 	百忙活	c=2 d=7.59862e-123 t=975297
bai mi 	百米	c=2 d=0 t=975297
bai mi fan 	白米飯	c=1 d=0 t=975297
bai ming dan 	白名單	c=46 d=2.98356e-170 t=975297
bai mo 	白沫	c=0 d=1.92327e-254 t=975297
bai mo yi xia 	白沫一下	c=1 d=1.93291e-253 t=975297
bai nian 	百年	c=0 d=0 t=975297
bai pao 	白跑	c=4 d=0 t=975297
bai pi shu 	白皮書	c=5 d=0 t=975297
bai piao 	白嫖	c=14 d=3.35452e-33 t=975297
bai ping 	擺平	c=2 d=3.09837e-139 t=975297
bai ping 	白屏	c=41 d=3.35088e-79 t=975297
bai se 	白色	c=28 d=8.09455e-14 t=975297
bai sha 	白沙	c=1 d=0 t=975297
bai shan 	白山	c=1 d=0 t=975297
bai she 	擺設	c=1 d=1.4604e-73 t=975297
bai shi 	百事	c=3 d=3.99554e-149 t=975297
bai shui 	白水	c=2 d=1.28289e-19 t=975297
bai song 	白送	c=1 d=0 t=975297
bai su zhen 	白素貞	c=1 d=1.11575e-112 t=975297
bai sui 	百歲	c=0 d=0 t=975297
bai sui zhao 	百歲照	c=1 d=0 t=975297
bai tan 	擺攤	c=2 d=1.29606e-139 t=975297
bai tang 	白唐	c=130 d=8.25245e-06 t=975297
bai tang 	白糖	c=7 d=7.34048e-40 t=975297
bai tian 	白天	c=18 d=0.00231117 t=975297
bai tiao 	白條	c=2 d=0 t=975297
bai tu 	白兔	c=1 d=2.46138e-126 t=975297
bai tuo 	拜託	c=12 d=9.26076e-68 t=975297
bai tuo 	擺脫	c=3 d=1.12246e-153 t=975297
bai tuo la 	拜託啦	c=2 d=1.79371e-21 t=975297
bai tuo le 	拜託了	c=1 d=0 t=975297
bai wan 	百萬	c=21 d=0.0196437 t=975297
bai wan fu weng 	百萬富翁	c=1 d=0 t=975297
bai wang 	白望	c=1 d=5.28936e-302 t=975297
bai wei 	百味	c=1 d=0 t=975297
bai wen 	白問	c=2 d=0 t=975297
bai xi 	白皙	c=3 d=0 t=975297
bai xian 	白線	c=1 d=0 t=975297
bai xing 	百姓	c=1 d=2.94891e-105 t=975297
bai yan 	白眼	c=1 d=0 t=975297
bai yang 	白楊	c=1 d=1.24014e-71 t=975297
bai yang 	白洋	c=5 d=0 t=975297
bai yang ka 	白楊卡	c=1 d=1.1486e-71 t=975297
bai ye chuang 	百葉窗	c=1 d=0 t=975297
bai yi 	白衣	c=1 d=3.67147e-242 t=975297
bai yin 	白銀	c=0 d=3.15735e-86 t=975297
bai yong 	白用	c=1 d=4.8237e-71 t=975297
bai yun shan 	白雲山	c=2 d=3.99444e-87 t=975297
bai zai 	擺在	c=2 d=0 t=975297
bai zhang 	白長	c=1 d=4.63111e-121 t=975297
bai zhao 	百兆	c=0 d=0 t=975297
bai zhe 	擺着	c=1 d=5.92045e-187 t=975297
bai zi 	白字	c=0 d=4.40482e-209 t=975297
bai zi hei zi 	白字黑子	c=1 d=4.4269e-208 t=975297
bai zong 	百總	c=2 d=8.92531e-222 t=975297
bai zuo 	白做	c=1 d=9.32659e-210 t=975297
ban 	伴	c=1 d=0 t=975297
ban 	半	c=25 d=2.05292e-12 t=975297
ban 	搬	c=29 d=1.9526e-11 t=975297
ban 	板	c=2 d=4.93504e-17 t=975297
ban 	版	c=86 d=9.8307e-06 t=975297
ban 	班	c=33 d=3.64517e-40 t=975297
ban 	般	c=5 d=3.20289e-77 t=975297
ban 	辦	c=69 d=2.25963e-08 t=975297
ban ban 	板板	c=2 d=9.41223e-53 t=975297
ban ban 	班班	c=1 d=3.92857e-156 t=975297
ban bei zi 	半輩子	c=1 d=0 t=975297
ban ben 	版本	c=1042 d=0.0896553 t=975297
ban ben hao 	版本號	c=3 d=3.99104e-77 t=975297
ban ben hua 	版本化	c=1 d=1.88491e-75 t=975297
ban bian 	半邊	c=0 d=0 t=975297
ban bu cheng 	辦不成	c=1 d=0 t=975297
ban bu dao 	辦不到	c=1 d=5.47377e-29 t=975297
ban chang 	半場	c=3 d=3.09944e-71 t=975297
ban cheng pin 	半成品	c=2 d=0 t=975297
ban chu 	搬出	c=3 d=6.39543e-95 t=975297
ban chu lai 	搬出來	c=5 d=1.3099e-101 t=975297
ban ci 	班次	c=1 d=0 t=975297
ban dao 	搬到	c=36 d=1.29127e-06 t=975297
ban dao na 	搬到哪	c=1 d=1.09975e-236 t=975297
ban dao ti 	半導體	c=12 d=0 t=975297
ban di 	班底	c=2 d=0 t=975297
ban dian 	半點	c=1 d=0 t=975297
ban dian shi 	半點是	c=1 d=0 t=975297
ban dong 	搬動	c=1 d=1.18668e-43 t=975297
ban er 	伴兒	c=3 d=2.83847e-09 t=975297
ban er 	班兒	c=1 d=0 t=975297
ban fa 	辦法	c=106 d=2.75727e-19 t=975297
ban fa 	頒發	c=2 d=5.2796e-104 t=975297
ban ge 	半個	c=13 d=2.7333e-06 t=975297
ban ge 	辦個	c=3 d=1.64296e-47 t=975297
ban ge duo 	半個多	c=1 d=2.70464e-29 t=975297
ban ge duo yue 	半個多月	c=2 d=0 t=975297
ban ge ka 	辦個卡	c=1 d=4.09878e-155 t=975297
ban ge ren 	半個人	c=1 d=0 t=975297
ban ge xiao shi 	半個小時	c=1 d=0 t=975297
ban ge yue 	半個月	c=21 d=1.84734e-44 t=975297
ban gong 	辦公	c=105 d=3.76731e-16 t=975297
ban gong lou 	辦公樓	c=1 d=4.35933e-86 t=975297
ban gong qu 	辦公區	c=2 d=2.50198e-142 t=975297
ban gong shi 	辦公室	c=30 d=7.64215e-102 t=975297
ban gong si 	辦公司	c=3 d=6.44376e-301 t=975297
ban gong wei 	搬工位	c=1 d=0 t=975297
ban guan zi 	半罐子	c=1 d=0 t=975297
ban guo 	辦過	c=1 d=4.62578e-225 t=975297
ban guo lai 	搬過來	c=7 d=2.0401e-94 t=975297
ban guo qu 	搬過去	c=9 d=1.03064e-149 t=975297
ban hao 	辦好	c=2 d=9.98777e-16 t=975297
ban hui lai 	搬回來	c=2 d=2.28781e-148 t=975297
ban hui qu 	搬回去	c=1 d=1.63793e-11 t=975297
ban huo 	搬貨	c=2 d=1.82796e-67 t=975297
ban jia 	半價	c=5 d=0.310576 t=975297
